Country Name,Country Code,2020 [YR2020] - GDP (current US$) [NY.GDP.MKTP.CD],2020 [YR2020] - GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],2020 [YR2020] - GDP per capita (current US$) [NY.GDP.PCAP.CD]
Afghanistan,AFG,20116137325.8206,-2.35110067344623,516.747870807558
Albania,ALB,15131866270.5936,-3.48163037314293,5332.16047456847
Algeria,DZA,145009181490.62,-5.0999999999227,3306.85820838104
American Samoa,ASM,709000000,3.92156862745099,12844.9009909959
Andorra,AND,2891001149.3611,-11.1839399355384,37416.6977203275
Angola,AGO,53619071176139,-5.50000000331273,1631.43169087951
Antigua and Barbuda,ATG,1370281481.48148,-20.1923705722071,13992.7444804497
Argentina,ARG,389591035520675,-9.89526896368687,8585.69474249794
Armenia,ARM,12641209802112,-7.3999999999095,4266.01807420946
Aruba,ABW,2496648044.69274,-22.3189479533247,23384.2987907455
Australia,AUS,1327836171068.51,-0.00383655856659004,51680.3165229438
Austria,AUT,433258467676515,-6.73451407608768,48588.6593847921
Azerbaijan,AZE,42693000000,-4.30000010230737,4229.91064904503
"Bahamas, The",BHS,9699500000,-23.8226075898758,24665.0968345675
Bahrain,BHR,34723357446.8085,-4.93585497941497,20406.5023256629
Bangladesh,BGD,373902134700.41,3.44802145482763,2270.34753479166
Barbados,BRB,4689534961.75956,-13.9813496635828,16318.7481052701
Belarus,BLR,61489588894.8211,-0.900000000246891,6555.42681826316
Belgium,BEL,521676942134632,-5.68073365528822,45189.3669003126
Belize,BLZ,1585631670.3461,-16.7501295113106,3987.79659612067
Benin,BEN,15651545331.5404,3.84879240030133,1291.04097215441
Bermuda,BMU,6881662000,-6.85345819243689,107706.039785266
Bhutan,BTN,2315436303.29988,-10.0763411553198,3000.77798595652
Bolivia,BOL,36629843806.0781,-8.7378843576993,3137.98961744018
Bosnia and Herzegovina,BIH,19955120004.6604,-3.11929049716271,6082.36673041923
Botswana,BWA,14930072799.0084,-8.72641034557256,6348.83231765626
Brazil,BRA,1448565936739.56,-3.87867633425788,6814.87563196772
British Virgin Islands,VGB,..,..,..
Brunei Darussalam,BRN,12005825769.5087,1.1335733495246,27442.95382794
Bulgaria,BGR,69889347433.4324,-4.38714983385256,10079.2033812203
Burkina Faso,BFA,17933606353.1775,1.93032488957256,857.932729650223
Burundi,BDI,2780510624.64184,0.327156892638385,233.837510306669
Cabo Verde,CPV,1703698676.69742,-14.7834050101145,3064.27238842819
Cambodia,KHM,25872798012.1938,-3.0960067306119,1547.51138764424
Cameroon,CMR,40804449726.0184,0.491914742161129,1537.13021832773
Canada,CAN,1645423407568.36,-5.23302430280606,43258.2638715601
Cayman Islands,CYM,5608989195.5292,-5.68397521170591,85346.7619526658
Central African Republic,CAF,2326720920.59223,0.899999996857062,481.746296629034
Chad,TCD,10715396135.4168,-1.60000673705524,652.349209585738
Channel Islands,CHI,..,..,..
Chile,CHL,252727193710018,-5.9782240617438,13220.5707580419
China,CHN,14687673892882,2.2397018568489,10408.6697561349
Colombia,COL,270299982887.01,-7.04815120786543,5312.19855554985
Comoros,COM,1223876064.52345,-0.293049624055854,1407.40927043446
"Congo, Dem. Rep.",COD,48716960860.0664,1.7354227636007,543.950392515803
"Congo, Rep.",COG,10483151093.6873,-6.23931963197583,1899.77823742106
Costa Rica,CRI,62158002233.0279,-4.05090817067276,12201.9260332666
Cote d'Ivoire,CIV,61348579465.1017,1.95833247878154,2325.72370502247
Croatia,HRV,57203783203.0259,-8.09976125177539,14132.4865609499
Cuba,CUB,107352000000,-10.9483409741617,9477.85287326771
Curacao,CUW,2496174735.64702,-18.4384703505394,16109.8616665506
Cyprus,CYP,24692095945.1742,-4.98429265744747,27681.56640625
Czechia,CZE,245339322066759,-5.79781387689806,22933.4995909236
Denmark,DNK,356084867685639,-2.06212495876164,61063.3164304238
Djibouti,DJI,3181071153.6622,1.20202203296475,3219.70112779347
Dominica,DMA,504214814.814815,-16.6049115377829,7003.85902147233
Dominican Republic,DOM,78844702329.0785,-6.72023937283404,7268.1969096591
Ecuador,ECU,99291124000,-7.78760709093422,5627.77227986528
"Egypt, Arab Rep.",EGY,365252651278852,3.5696694750486,3569.20684121108
El Salvador,SLV,24638720000,-8.5813121584968,3798.63652082321
Equatorial Guinea,GNQ,10099157269.8025,-4.24147816609674,7198.33588370688
Eritrea,ERI,..,..,..
Estonia,EST,30650285471.7215,-2.95106931268964,23054.3584905978
Eswatini,SWZ,3984840580.40634,-1.85052471016712,3434.72179830295
Ethiopia,ETH,107657734392446,6.05953088643369,936.45075756247
Faroe Islands,FRO,3240759988.99453,..,66320.6791976778
Fiji,FJI,4574413823.31243,-15.1508166514156,5102.84392924983
Finland,FIN,271836962949417,-2.29925608460077,49160.8371522596
France,FRA,2630317731455.26,-7.85525603703762,39037.1226309074
French Polynesia,PYF,5669368717.20724,-7.60001173107545,20182.5845029164
Gabon,GAB,15316824039.3269,-1.83776092953785,6881.71422533521
"Gambia, The",GMB,1830412999.95922,-0.201822911407234,757.413111611389
Georgia,GEO,15842922532.7202,-6.76043981705519,4255.74299321254
Germany,DEU,3846413928653.71,-4.56961671737398,46252.6893044892
Ghana,GHA,70043199813.6885,0.513941648320653,2254.15388897604
Gibraltar,GIB,..,..,..
Greece,GRC,188835201625.91,-9.01912908499726,17647.2326882744
Greenland,GRL,3075968328.69677,0.356531660011413,54570.3750190141
Grenada,GRD,1043411111.11111,-13.7555277966333,9273.19929177393
Guam,GUM,5844000000,-11.8500176865936,34624.3401290414
Guatemala,GTM,77604632620.6473,-1.51933003489331,4603.33964340645
Guinea,GIN,14169626010.1229,4.63727753630549,1078.95000622281
Guinea-Bissau,GNB,1431758242.90375,-2.39999999921721,727.520171719562
Guyana,GUY,5471256594.72422,43.4795559399402,6955.93921717789
Haiti,HTI,14508218017.4032,-3.34337261175989,1272.36799204205
Honduras,HND,23827840809.7014,-8.96476018404584,2405.73284775141
"Hong Kong SAR, China",HKG,344881400505337,-6.49656237620142,46100.975872923
Hungary,HUN,156743134665959,-4.46322087037791,16075.9732662505
Iceland,ISL,21718075725.2054,-6.50391225040894,59264.0340913145
India,IND,2667687951796.56,-6.59608052232176,1933.1010689481
Indonesia,IDN,1058688935454.78,-2.06500494092904,3870.55761979249
"Iran, Islamic Rep.",IRN,231547571240469,1.76179709064112,2756.74997687567
Iraq,IRQ,184369797315436,-11.3241992616186,4583.7474936713
Ireland,IRL,425888950992003,5.86697550911293,85422.5428682266
Isle of Man,IMN,..,..,..
Israel,ISR,407100736594064,-2.15342848939964,44177.5712248445
Italy,ITA,1892574064222.11,-9.0256689277568,31834.9726184046
Jamaica,JAM,13812425036.5864,-10,4664.53024222133
Japan,JPN,5040107754084.11,-4.50690454226634,39918.1675583443
Jordan,JOR,43697659295.7747,-1.55138446553204,4282.76582461621
Kazakhstan,KAZ,171082379532988,-2.50000000028746,9121.63713797145
Kenya,KEN,100666542665.72,-0.250155704968378,1872.12402649219
Kiribati,KIR,180911843.644622,-0.546986884307415,1514.59105909467
"Korea, Dem. People's Rep.",PRK,..,..,..
"Korea, Rep.",KOR,1637895802792.9,-0.852031428863825,31597.5046490718
Kosovo,XKX,7716925356.12536,-5.34027530229791,4310.81118337317
Kuwait,KWT,105960225688145,-8.85527892349084,24811.7697100231
Kyrgyz Republic,KGZ,7780874536.66054,-8.39836429561723,1182.52170043018
Lao PDR,LAO,18981800705.0794,0.503031829677198,2608.98283307549
Latvia,LVA,33645460617239,-3.76907840008469,17703.9534432332
Lebanon,LBN,25948915861.1985,-25.9077316705061,3801.79274268223
Lesotho,LSO,2250717718.46577,-7.55673362390765,1050.63163365737
Liberia,LBR,3039982540,-2.98249214979133,601.063005802862
Libya,LBY,52320215472.0934,-23.9297824475795,7614.32544908885
Liechtenstein,LIE,..,..,..
Lithuania,LTU,56546957475.4912,-0.132431460828812,20232.3020358588
Luxembourg,LUX,73353132793.7076,-1.7762402290181,116356.158037286
"Macao SAR, China",MAC,25586111076.3415,-54.011402150248,39403.1359073362
Madagascar,MDG,13225591803.6232,-7.14060999987538,477.613041384398
Malawi,MWI,12172128469.5737,0.799998330902724,636.286309590051
Malaysia,MYS,337006023789699,-5.64693993202584,10412.3476677499
Maldives,MDV,3742769967.42798,-33.499902099428,6924.10574465625
Mali,MLI,17465392779.0366,-1.235450447077,862.453012011092
Malta,MLT,14917038504285,-8.34879817561675,28946.4626770412
Marshall Islands,MHL,244462400,-2.20760540236407,4129.850998412
Mauritania,MRT,7915985513.70246,-1.76332179417277,1702.48695898248
Mauritius,MUS,10926820603402,-14.8946756679307,8632.75285872458
Mexico,MEX,1087117783073.31,-8.16735801037942,8431.66501744762
"Micronesia, Fed. Sts.",FSM,407515927.98229,-1.76539751774801,3542.96978797168
Moldova,MDA,11859730543.5525,-7.38018215370487,4525.75965363511
Monaco,MCO,6816219303.25528,-11.7527733755943,173688.189360292
Mongolia,MNG,13312981594573,-4.55775197337685,4060.95051770038
Montenegro,MNE,4780722121.96227,-15.3068937570407,7694.6337585059
Morocco,MAR,114725065285149,-6.29325315954672,3058.69165039063
Mozambique,MOZ,14028811071.7628,-1.23390571070034,448.843891366822
Myanmar,MMR,78930257227.0908,3.17377440041078,1450.66267347182
Namibia,NAM,10562637375594,-7.86593662533502,4157.01950619148
Nauru,NRU,114626625.553023,1.14942528735634,10580.2681883905
Nepal,NPL,33433670511.9364,-2.36962062652862,1147.47197125836
Netherlands,NLD,913865395789886,-3.79863599268334,52396.0322099525
New Caledonia,NCL,9435529927.2471,..,34694.5504017028
New Zealand,NZL,211734532308013,-1.25266452942354,41596.5055023403
Nicaragua,NIC,12586941392.6347,-1.78940799889065,1900.04359427589
Niger,NER,13741378450136,3.58000640281861,567.669892261611
Nigeria,NGA,432293776262398,-1.79425308233591,2097.09247289022
North Macedonia,MKD,12116981815.2261,-6.11088671102702,5846.46589856854
Northern Mariana Islands,MNP,..,..,..
Norway,NOR,362198318435.26,-0.717182669244792,67329.6777910967
Oman,OMN,73971391417.4252,-3.2009359899042,14485.3861157973
Pakistan,PAK,300306331697668,-1.32951973241039,1359.51452156874
Palau,PLW,257700000,-9.73741794310722,14243.8646915764
Panama,PAN,53977037000,-17.9448640951201,12509.8352912602
Papua New Guinea,PNG,24667052023.1214,-3.49999998706522,2757.01101864579
Paraguay,PRY,35432178068.1756,-0.819785390950798,4967.68721171529
Peru,PER,201705055938653,-10.9526989325015,6117.49357129272
Philippines,PHL,361751116292541,-9.51829474059072,3301.21860257673
Poland,POL,596624355719671,-2.5406586820496,15742.4537256368
Portugal,PRT,228539245045341,-8.4424559714062,22194.566114935
Puerto Rico,PRI,103138300000,-3.90330519298465,31429.8661176558
Qatar,QAT,144411363345.27,-3.64044980532107,50124.3859361728
Romania,ROU,249511333647502,-3.74790769477283,12956.5662477568
Russian Federation,RUS,1488321875489.74,-2.68329621644421,10161.982421875
Rwanda,RWA,10184345442.1708,-3.35885331963946,786.301814784707
Samoa,WSM,807147527.615094,-2.58988987303924,4068.07886505264
San Marino,SMR,1544713784.67671,-6.64791226034481,45515.7576957013
Sao Tome and Principe,STP,472914469.91933,3.08972555522433,2157.84044569668
Saudi Arabia,SAU,703367841222555,-4.13767037552623,20203.6688777651
Senegal,SEN,24493157583.2282,1.32550514087364,1462.80816888438
Serbia,SRB,53335016425.4148,-0.94459651550703,7730.69174637698
Seychelles,SYC,1200634489.34841,-7.72351780100885,12193.8868736001
Sierra Leone,SLE,4063289449.58795,-1.96894782045837,509.376593987322
Singapore,SGP,345295933898674,-4.14310562126106,60729.4503486794
Sint Maarten (Dutch part),SXM,..,..,..
Slovak Republic,SVK,105172564491569,-4.35875380792719,19266.5135736247
Slovenia,SVN,53589609580.7099,-4.22926138908075,25489.5002284083
Solomon Islands,SLB,1545888426.23031,-4.31969911885905,2250.6011638607
Somalia,SOM,6965285324.52156,2.44021097265804,438.255165584868
South Africa,ZAF,335442101366417,-6.43197482605483,5655.86765390396
South Sudan,SSD,..,..,..
Spain,ESP,1281484640043.58,-10.8228864939664,27056.4217512166
Sri Lanka,LKA,80969683537.4541,-3.61519138926425,3694.0409479198
St. Kitts and Nevis,KNA,980905888.888889,-14.4098486697584,18440.8536789158
St. Lucia,LCA,1616772748.14815,-20.3736419327132,8804.56108865238
St. Martin (French part),MAF,..,..,..
St. Vincent and the Grenadines,VCT,872134546.803407,-5.31264758073681,7860.82135437107
Sudan,SDN,26987563444.1489,-3.62980562615675,615.462097167969
Suriname,SUR,2884248048.49068,-15.9079511896139,4916.60566637918
Sweden,SWE,541487151474557,-2.94418191952613,52300.2061994993
Switzerland,CHE,752248045730.11,-2.39282604159746,87100.4148213751
Syrian Arab Republic,SYR,..,..,..
Tajikistan,TJK,8133996647.90397,4.40004970247546,852.830987774963
Tanzania,TZA,62409709110.9538,1.99634350627701,1076.4697265625
Thailand,THA,499681757030968,-6.19548915958073,7158.76668372256
Timor-Leste,TLS,1902156800,10.37185523562,1442.73073825015
Togo,TGO,7574636978.66175,1.75282496719069,914.950792453214
Tonga,TON,488829964.070819,0.654698595700353,4624.82344882844
Trinidad and Tobago,TTO,21392536137.7724,-7.37428526501073,15285.9404867715
Tunisia,TUN,42514151614.2796,-8.7349757297777,3597.21852540455
Turkiye,TUR,719954821683.31,1.79355139618684,8536.43331960632
Turkmenistan,TKM,..,..,..
Turks and Caicos Islands,TCA,924583000,-26.7828769274205,23879.9266491038
Tuvalu,TUV,55054710.6186773,1.51515151515152,4668.81874310357
Uganda,UGA,37600368180.9399,2.95130642159407,822.027681531666
Ukraine,UKR,156617861448576,-3.75280409994949,3751.74072265625
United Arab Emirates,ARE,358868765174924,-6.13450080253007,36284.5552429552
United Kingdom,GBR,2756900214107.32,-9.27041083453351,41098.0786527828
United States,USA,20893743833000,-3.40458965156256,63027.6795267153
Uruguay,URY,53560755046.5726,-6.12147627778037,15418.8153089096
Uzbekistan,UZB,59894305352.8955,1.88624525878936,1749.65581532206
Vanuatu,VUT,896827873.114925,-5.40192106083359,2919.83679998348
"Venezuela, RB",VEN,..,..,..
Vietnam,VNM,343242570827351,2.93999999999815,3526.27457939624
Virgin Islands (U.S.),VIR,4204000000,-2.14700681990402,39552.1685953523
West Bank and Gaza,PSE,15531700000,-11.3184661065134,3233.56863835858
"Yemen, Rep.",YEM,18840511908.2484,-8.50000001581662,631.681490044125
Zambia,ZMB,18110631358.3114,-2.78505506545167,985.132436038869
Zimbabwe,ZWE,18051170798941,-6.24874822378281,1214.50982023534
