ANO;COD_PAIS;%CRESCIMENTO_PIB_PER_CAPITA
1960;BRA;
1960;USA;
1961;BRA;
1961;USA;
1962;BRA;
1962;USA;
1963;BRA;
1963;USA;
1964;BRA;
1964;USA;
1965;BRA;
1965;USA;
1966;BRA;
1966;USA;
1967;BRA;
1967;USA;
1968;BRA;
1968;USA;
1969;BRA;
1969;USA;
1970;BRA;
1970;USA;
1971;BRA;9.0523527170925
1971;USA;1.56288701596985
1972;BRA;9.41464258665252
1972;USA;4.61182891297302
1973;BRA;11.0551407753012
1973;USA;4.34885930532758
1974;BRA;3.50524903349489
1974;USA;-5.22342058951114
1975;BRA;1.92229017649829
1975;USA;-1.29295711962484
1976;BRA;8.27314500953933
1976;USA;4.3241109135661
1977;BRA;3.33413665033426
1977;USA;2.80546315557426
1978;BRA;0.515136801207916
1978;USA;4.17061959452967
1979;BRA;2.66216977669711
1979;USA;-1.9445254895379
1980;BRA;2.18959307310185
1980;USA;-2.90529549298854
1981;BRA;-8.00032526196458
1981;USA;2.9084281644425
1982;BRA;-2.73152018803624
1982;USA;0.51847385319617
1983;BRA;-6.38420989518694
1983;USA;1.86633419205617
1984;BRA;4.18655970042727
1984;USA;7.25757449052912
1985;BRA;23.8925300185455
1985;USA;3.29811217878557
1986;BRA;7.35837136791679
1986;USA;2.53941019049367
1987;BRA;1.3701434862667
1987;USA;2.72987873993532
1988;BRA;-1.64987272878443
1988;USA;5.08133792095438
1989;BRA;-7.56513732544677
1989;USA;1.09378209506312
1990;BRA;-15.0102289362721
1990;USA;0.0452544249677942
1991;BRA;1.08700283089587
1991;USA;-0.89332934967365
1992;BRA;-0.322795330774937
1992;USA;2.01993059129006
1993;BRA;2.2770136941602
1993;USA;0.693391456824969
1994;BRA;5.19879947634337
1994;USA;3.33110527512687
1995;BRA;4.38159268861791
1995;USA;2.29382210850626
1996;BRA;-0.113744360740156
1996;USA;3.27791931777874
1997;BRA;1.41746441229316
1997;USA;4.16235066253951
1998;BRA;-2.49280147009792
1998;USA;4.73655352595412
1999;BRA;-4.0900693488793
1999;USA;2.89722903271945
2000;BRA;4.3102049929101
2000;USA;2.8564879524283
2001;BRA;-0.767999240894696
2001;USA;-0.21113366739327
2002;BRA;1.51843537590915
2002;USA;1.70482260819378
2003;BRA;-0.180566183124853
2003;USA;0.223322898936516
2004;BRA;4.35236754540591
2004;USA;2.97706614594713
2005;BRA;1.37297526014434
2005;USA;2.50867259595609
2006;BRA;4.19326908643684
2006;USA;2.49219112790451
2007;BRA;5.66556187205691
2007;USA;-0.539327974656416
2008;BRA;2.9661311309503
2008;USA;-4.03931972682018
2009;BRA;1.45981868710305
2009;USA;-2.04922519224581
2010;BRA;5.86075991239976
2010;USA;3.87657007662565
2011;BRA;4.14383862969636
2011;USA;1.44753427724325
2012;BRA;0.805207840998932
2012;USA;2.84103034296143
2013;BRA;3.58790782071998
2013;USA;0.577814877815001
2014;BRA;-1.31466902329225
2014;USA;2.18230214623172
2015;BRA;-4.58192667097993
2015;USA;3.21435123963356
2016;BRA;-4.08959365563182
2016;USA;-0.111701136066529
2017;BRA;0.60854278336997
2017;USA;2.13501391311863
2018;BRA;-0.70923419534769
2018;USA;1.83304971390592
2019;BRA;0.793998164626174
2019;USA;1.63804428315011
2020;BRA;-4.84128461260993
2020;USA;-4.89617384017642
2021;BRA;
2021;USA;
